                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.9612,                 66.034,                 3.6036,                      0,                      0,                      0,                      0,                 5.3062,                 153.95,                  3.151,                0.00048,                0.00048,                0.00048
                      1,                 4.7664,                 15.837,                 2.8959,                      0,                      0,                      0,                      0,                 4.0185,                 86.375,                 2.4747,              0.0009606,              0.0009606,              0.0009606
                      2,                 3.6818,                 5.5889,                 1.8504,                      0,                      0,                      0,                      0,                 3.2584,                 59.899,                 2.0127,              0.0014214,              0.0014214,              0.0014214
                      3,                 3.1753,                 3.8368,                 1.5001,                      0,                      0,                      0,                      0,                 3.8864,                 87.352,                 2.3515,              0.0018624,              0.0018624,              0.0018624
                      4,                 3.0828,                 3.1873,                 1.4249,                0.19093,                0.10317,                0.05325,                0.01388,                 3.0044,                 4.7498,                 1.5073,              0.0018416,              0.0018416,              0.0018416
                      5,                 2.8697,                 2.8578,                 1.3316,                0.35691,                0.33333,                0.23691,                0.06302,                 2.7167,                 2.9695,                 1.2757,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.8293,                 2.6928,                 1.2976,                0.44487,                0.36508,                0.35201,                0.09598,                 2.6394,                 2.8481,                 1.2554,               0.001802,               0.001802,               0.001802
                      7,                 2.6902,                 2.6058,                 1.2484,                0.46979,                0.38095,                0.35445,                0.10481,                 2.6059,                 2.8605,                 1.2503,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.7738,                 2.5229,                 1.2624,                0.41408,                0.40873,                0.35786,                 0.1135,                 2.5571,                 2.5494,                 1.2198,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.6291,                 2.3187,                 1.2207,                0.45371,                0.46032,                0.41524,                 0.1367,                 2.5684,                 2.6701,                   1.24,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.6184,                 2.2469,                 1.2327,                0.44418,                0.45238,                0.41611,                0.13568,                 2.5682,                 2.2129,                 1.2488,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.6467,                 2.1841,                 1.2102,                0.58176,                0.53968,                0.53571,                0.15731,                 2.5147,                 3.4877,                 1.2401,               0.001604,               0.001604,               0.001604
                     12,                 2.6185,                 2.1822,                 1.2256,                0.51123,                0.44048,                0.40503,                0.12513,                 2.3817,                 2.2442,                 1.1675,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.5562,                 2.0801,                 1.1818,                 0.3734,                0.41667,                0.34367,                0.10452,                  2.387,                 3.0227,                 1.1721,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.5315,                 2.0456,                 1.1891,                0.58519,                0.58222,                0.59171,                0.18692,                  2.489,                 2.2024,                 1.1956,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.5205,                 2.0149,                 1.1729,                 0.4605,                0.43651,                0.43297,                0.13633,                 2.4687,                  2.099,                 1.1866,              0.0014456,              0.0014456,              0.0014456
                     16,                  2.514,                 1.9233,                 1.1733,                0.51932,                0.53571,                0.48972,                0.14856,                 2.3823,                  2.278,                 1.1473,               0.001406,               0.001406,               0.001406
                     17,                 2.5197,                 1.9102,                  1.156,                0.64715,                0.52381,                0.58536,                 0.1881,                 2.3826,                 1.8199,                  1.163,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.4893,                 1.9108,                 1.1614,                0.56862,                0.59524,                0.59379,                0.20646,                 2.3124,                 1.8579,                 1.1397,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.4778,                 1.8539,                 1.1682,                0.64324,                0.57953,                0.60439,                0.21327,                 2.3637,                 1.7256,                  1.168,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.4366,                 1.8071,                 1.1326,                 0.6304,                0.59524,                0.62248,                0.20202,                 2.4809,                   1.74,                 1.2002,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.4619,                 1.7955,                 1.1629,                0.54319,                0.50397,                0.54153,                0.17863,                 2.3471,                 1.7944,                 1.1511,               0.001208,               0.001208,               0.001208
                     22,                  2.428,                 1.8206,                 1.1312,                0.45659,                0.49603,                0.44791,                0.13212,                 2.2825,                 2.0249,                 1.1279,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.4151,                 1.7842,                 1.1568,                0.56496,                0.59921,                 0.5747,                0.19604,                 2.2744,                 2.0672,                 1.1294,              0.0011288,              0.0011288,              0.0011288
                     24,                  2.422,                 1.8198,                  1.144,                0.59188,                0.44048,                0.45036,                0.12799,                 2.7249,                  1.771,                  1.269,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.3785,                 1.7718,                 1.1497,                0.62937,                 0.6267,                0.63501,                0.23266,                 2.3116,                 1.7548,                 1.1404,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.3853,                 1.7234,                 1.1564,                0.59482,                0.51847,                0.55638,                0.18531,                 2.4656,                 1.8026,                 1.1847,                0.00101,                0.00101,                0.00101
                     27,                 2.4427,                 1.7064,                 1.1585,                0.54968,                0.58127,                0.52053,                0.15243,                 2.4517,                 1.8506,                 1.1785,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.4188,                 1.6917,                 1.1716,                 0.6768,                0.58999,                 0.6511,                0.22935,                 2.3083,                 1.6139,                  1.137,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.4173,                 1.7024,                 1.1376,                0.63147,                0.64286,                0.65328,                0.23125,                  2.333,                 1.6001,                 1.1406,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.3814,                 1.6806,                 1.1396,                0.63464,                0.57937,                0.61136,                0.21163,                 2.4359,                 1.5905,                 1.1671,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.3809,                 1.6551,                 1.1407,                0.62259,                0.62302,                 0.6041,                0.20982,                 2.4017,                 1.7931,                  1.164,               0.000812,               0.000812,               0.000812
                     32,                 2.3555,                 1.6266,                 1.1292,                0.74631,                0.61111,                0.65838,                0.23735,                 2.2561,                 1.6184,                 1.1192,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.2987,                 1.6309,                 1.1039,                0.67024,                0.62911,                 0.6493,                0.22734,                 2.2853,                  1.515,                 1.1296,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.3357,                 1.5662,                 1.0985,                0.61263,                0.58994,                0.59723,                0.20994,                 2.2424,                 1.6764,                 1.1183,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.3668,                 1.6252,                 1.1218,                0.65959,                0.56349,                 0.6313,                0.23098,                 2.3902,                  1.585,                 1.1664,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.3045,                 1.5839,                 1.1126,                0.64976,                0.63095,                0.66491,                0.23637,                 2.3426,                 1.7111,                 1.1516,               0.000614,               0.000614,               0.000614
                     37,                 2.3149,                 1.6131,                 1.1245,                0.69024,                0.61508,                0.68843,                0.26536,                 2.2412,                  1.479,                 1.1197,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.2633,                 1.5586,                 1.1152,                0.68557,                0.65079,                0.70332,                0.26582,                 2.2938,                 1.6602,                   1.14,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.3345,                 1.5697,                 1.1212,                0.64563,                0.63095,                0.67185,                0.25809,                 2.2424,                 1.5234,                 1.1256,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.2924,                 1.5432,                 1.1043,                0.74351,                0.65079,                0.70145,                0.25592,                 2.3244,                 1.5401,                 1.1428,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.2425,                  1.578,                 1.0918,                0.68622,                0.62302,                0.67705,                0.25262,                 2.2023,                 1.6288,                 1.1124,               0.000416,               0.000416,               0.000416
                     42,                 2.2401,                 1.5218,                 1.0991,                0.64907,                0.69726,                0.68964,                0.24977,                 2.2834,                 1.6176,                 1.1322,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.2994,                 1.5295,                 1.1006,                0.67931,                0.68089,                0.69413,                 0.2643,                 2.1741,                 1.6939,                 1.1072,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.3031,                 1.5382,                 1.1101,                0.69645,                0.66667,                0.70766,                0.25904,                 2.2515,                 1.5316,                 1.1295,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.2687,                 1.5134,                 1.1103,                0.77477,                0.65521,                0.71856,                0.25991,                 2.3053,                 1.4886,                 1.1405,              0.0002576,              0.0002576,              0.0002576
                     46,                   2.28,                 1.5103,                 1.1037,                0.71435,                0.69466,                0.71085,                0.27784,                 2.1977,                 1.5266,                 1.1105,               0.000218,               0.000218,               0.000218
                     47,                 2.2513,                 1.4927,                 1.1044,                0.65748,                0.69048,                0.67899,                0.26386,                 2.2222,                 1.5144,                 1.1184,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.3068,                 1.4948,                 1.0966,                0.66238,                0.69444,                0.69027,                0.26864,                 2.2249,                 1.5379,                 1.1221,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.2269,                  1.539,                 1.0988,                0.72256,                0.65476,                0.69926,                0.27934,                 2.2132,                  1.507,                 1.1186,               9.92e-05,               9.92e-05,               9.92e-05
